"aphiaID","Kingdom","Subkingdom","Infrakingdom","Phylum","Subphylum","Infraphylum","Class","Subclass","Order","Family","Genus","Species","Superorder","Phylum (Division)","Subphylum (Subdivision)","Suborder","Subfamily","Variety","Forma","Subgenus","Superclass","rank"
148985,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros",NA,"Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
148986,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros mitra","Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
148989,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Achnanthales","Cocconeidaceae","Cocconeis",NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
148992,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus concinnus","Coscinodiscanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149002,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae",NA,NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
149003,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae","Cylindrotheca",NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149004,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium","Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149006,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Surirellales","Surirellaceae",NA,NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
149010,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Cymatosirales","Cymatosiraceae",NA,NA,"Cymatosirophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
149012,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Cymatosirales","Cymatosiraceae","Cymatosira","Cymatosira belgica","Cymatosirophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149013,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Fragilariophycidae","Fragilariales","Fragilariaceae","Diatoma",NA,"Fragilariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149015,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Naviculales",NA,NA,NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Order"
149018,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Naviculales","Diploneidaceae","Diploneis",NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149021,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Lithodesmiales","Lithodesmiaceae",NA,NA,"Lithodesmiophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
149022,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Lithodesmiales","Lithodesmiaceae","Ditylum",NA,"Lithodesmiophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149023,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Lithodesmiales","Lithodesmiaceae","Ditylum","Ditylum brightwellii","Lithodesmiophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149026,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Rhopalodiales","Rhopalodiaceae","Epithemia",NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149027,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Rhopalodiales","Rhopalodiaceae","Epithemia","Epithemia turgida","Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149028,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Fragilariophycidae","Fragilariales","Fragilariaceae","Fragilaria",NA,"Fragilariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149031,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Naviculales","Naviculaceae",NA,NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
149032,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Naviculales","Pleurosigmataceae",NA,NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
149033,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Naviculales","Pleurosigmataceae","Gyrosigma",NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149035,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Naviculales","Pleurosigmataceae","Gyrosigma","Gyrosigma acuminatum","Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149037,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Leptocylindrales","Leptocylindraceae",NA,NA,"Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
149038,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Leptocylindrales","Leptocylindraceae","Leptocylindrus",NA,"Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149039,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Leptocylindrales","Leptocylindraceae","Leptocylindrus","Leptocylindrus minimus","Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149041,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Melosirales","Melosiraceae",NA,NA,"Coscinodiscanae",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
149042,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Melosirales","Melosiraceae","Melosira",NA,"Coscinodiscanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149043,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Melosirales","Melosiraceae","Melosira","Melosira varians","Coscinodiscanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149044,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Melosirales","Melosiraceae","Melosira","Melosira nummuloides","Coscinodiscanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149045,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae","Nitzschia",NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149046,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia acicularis","Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149049,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Triceratiales","Triceratiaceae",NA,NA,"Biddulphianae",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
149050,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Triceratiales","Triceratiaceae","Odontella","Odontella aurita","Biddulphianae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149054,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Paraliales","Paraliaceae","Paralia",NA,"Coscinodiscanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149055,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Paraliales","Paraliaceae","Paralia","Paralia sulcata","Coscinodiscanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149056,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Cymatosirales","Cymatosiraceae","Plagiogrammopsis",NA,"Cymatosirophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149057,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Cymatosirales","Cymatosiraceae","Plagiogrammopsis","Plagiogrammopsis vanheurckii","Cymatosirophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149058,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Melosirales","Hyalodiscaceae",NA,NA,"Coscinodiscanae",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
149059,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Melosirales","Hyalodiscaceae","Podosira",NA,"Coscinodiscanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149060,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Melosirales","Hyalodiscaceae","Podosira","Podosira stelligera","Coscinodiscanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149064,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Rhaponeidales","Rhaphoneidaceae",NA,NA,"Bacillariophycidae incertae sedis",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
149065,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Rhaponeidales","Rhaphoneidaceae","Rhaphoneis",NA,"Bacillariophycidae incertae sedis",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149066,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Rhaponeidales","Rhaphoneidaceae","Rhaphoneis","Rhaphoneis amphiceros","Bacillariophycidae incertae sedis",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149067,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Rhizosoleniales",NA,NA,NA,"Rhizosolenianae",NA,NA,NA,NA,NA,NA,NA,NA,"Order"
149068,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Rhizosoleniales","Rhizosoleniaceae",NA,NA,"Rhizosolenianae",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
149069,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia",NA,"Rhizosolenianae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149070,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia","Rhizosolenia hebetata","Rhizosolenianae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149071,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia","Rhizosolenia hebetata","Rhizosolenianae",NA,NA,NA,NA,NA,"Rhizosolenia hebetata f. semispina",NA,NA,"Forma"
149073,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Thalassiosirales","Skeletonemaceae","Skeletonema",NA,"Thalassiosiranae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149074,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Thalassiosirales","Skeletonemaceae","Skeletonema","Skeletonema costatum","Thalassiosiranae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149077,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Naviculales","Stauroneidaceae","Stauroneis",NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149084,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Surirellales","Surirellaceae","Surirella",NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149091,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Fragilariophycidae","Thalassionematales","Thalassionemataceae",NA,NA,"Fragilariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
149092,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Fragilariophycidae","Thalassionematales","Thalassionemataceae","Thalassionema",NA,"Fragilariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149093,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Fragilariophycidae","Thalassionematales","Thalassionemataceae","Thalassionema","Thalassionema nitzschioides","Fragilariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149094,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Triceratiales","Triceratiaceae","Odontella","Odontella regia","Biddulphianae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149095,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Triceratiales","Triceratiaceae","Odontella","Odontella sinensis","Biddulphianae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149099,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira antarctica","Thalassiosiranae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149100,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira hyalina","Thalassiosiranae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149101,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira subtilis","Thalassiosiranae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149102,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira gravida","Thalassiosiranae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149105,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Coscinodiscales","Hemidiscaceae","Roperia","Roperia tesselata","Coscinodiscanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149106,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Leptocylindrales","Leptocylindraceae","Leptocylindrus","Leptocylindrus danicus","Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149109,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Corethrales","Corethraceae","Corethron",NA,"Corethranae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149110,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Corethrales","Corethraceae","Corethron","Corethron criophilum","Corethranae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149111,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Rhizosoleniales","Rhizosoleniaceae","Guinardia",NA,"Rhizosolenianae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149112,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Rhizosoleniales","Rhizosoleniaceae","Guinardia","Guinardia delicatula","Rhizosolenianae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149113,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Rhizosoleniales","Rhizosoleniaceae","Guinardia","Guinardia striata","Rhizosolenianae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149114,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia","Rhizosolenia delicatula","Rhizosolenianae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149115,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia","Rhizosolenia setigera","Rhizosolenianae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149116,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia","Rhizosolenia imbricata","Rhizosolenianae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149117,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia","Rhizosolenia pungens","Rhizosolenianae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149118,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum",NA,"Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149119,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacteriastrum hyalinum","Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149120,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros danicus","Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149121,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros densus","Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149122,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros didymus","Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149123,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros socialis","Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149124,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros borealis","Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149125,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros teres","Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149126,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros decipiens","Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149127,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros similis","Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149128,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros diadema","Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149129,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros compressus","Chaetocerotanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149130,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Hemiaulales","Hemiaulaceae","Eucampia",NA,"Biddulphianae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149131,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Hemiaulales","Hemiaulaceae","Eucampia","Eucampia zodiacus","Biddulphianae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149132,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Rhizosoleniales","Rhizosoleniaceae","Guinardia","Guinardia flaccida","Rhizosolenianae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149134,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Thalassiosirales","Lauderiaceae","Lauderia",NA,"Thalassiosiranae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149135,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Thalassiosirales","Lauderiaceae","Lauderia","Lauderia annulata","Thalassiosiranae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149136,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Cymatosirales","Cymatosiraceae","Brockmanniella",NA,"Cymatosirophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149137,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Coscinodiscophycidae","Cymatosirales","Cymatosiraceae","Brockmanniella","Brockmanniella brockmannii","Cymatosirophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149138,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Fragilariophycidae","Fragilariales","Fragilariaceae","Asterionellopsis",NA,"Fragilariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149139,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Fragilariophycidae","Fragilariales","Fragilariaceae","Asterionellopsis","Asterionellopsis glacialis","Fragilariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149140,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Naviculales","Amphipleuraceae","Amphiprora",NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149142,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Naviculales","Naviculaceae","Navicula",NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149143,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Naviculales","Naviculaceae","Navicula","Navicula distans","Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149144,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Naviculales","Naviculaceae","Meuniera",NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149145,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Naviculales","Naviculaceae","Meuniera","Meuniera membranacea","Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149146,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Naviculales","Naviculaceae","Trachyneis",NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149147,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Naviculales","Naviculaceae","Trachyneis","Trachyneis aspera","Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149148,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae","Bacillaria",NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149150,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia longissima","Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
149151,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae","Pseudo-nitzschia",NA,"Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
149152,"Chromista",NA,NA,"Heterokontophyta","Bacillariophytina",NA,"Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia seriata","Bacillariophycanae",NA,NA,NA,NA,NA,NA,NA,NA,"Species"
